Record Date,Debt Outstanding Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
1891-07-01,1545996591.61,1,1891,4,1891,3,07,01
1890-07-01,1552140204.73,1,1890,4,1890,3,07,01
1889-07-01,1619052922.23,1,1889,4,1889,3,07,01
1888-07-01,1692858984.58,1,1888,4,1888,3,07,01
1887-07-01,1657602592.63,1,1887,4,1887,3,07,01
1886-07-01,1775063013.78,1,1886,4,1886,3,07,01
1885-07-01,1863964873.14,1,1885,4,1885,3,07,01
1884-07-01,1830528923.57,1,1884,4,1884,3,07,01
1883-07-01,1884171728.07,1,1883,4,1883,3,07,01
1882-07-01,1918312994.03,1,1882,4,1882,3,07,01
1881-07-01,2069013569.58,1,1881,4,1881,3,07,01
1880-07-01,2120415370.63,1,1880,4,1880,3,07,01
1879-07-01,2349567482.04,1,1879,4,1879,3,07,01
1878-07-01,2256205892.53,1,1878,4,1878,3,07,01
1877-07-01,2205301392.10,1,1877,4,1877,3,07,01
1876-07-01,2180395067.15,1,1876,4,1876,3,07,01
1875-07-01,2232284531.95,1,1875,4,1875,3,07,01
1874-07-01,2251690468.43,1,1874,4,1874,3,07,01
1873-07-01,2234482993.20,1,1873,4,1873,3,07,01
1872-07-01,2253251328.78,1,1872,4,1872,3,07,01
1871-07-01,2353211332.32,1,1871,4,1871,3,07,01
1870-07-01,2480672427.81,1,1870,4,1870,3,07,01
1869-07-01,2588452213.94,1,1869,4,1869,3,07,01
1868-07-01,2611687851.19,1,1868,4,1868,3,07,01
1867-07-01,2678126103.87,1,1867,4,1867,3,07,01
1866-07-01,2773236173.69,1,1866,4,1866,3,07,01
1865-07-01,2680647869.74,1,1865,4,1865,3,07,01
1864-07-01,1815784370.57,1,1864,4,1864,3,07,01
1863-07-01,1119772138.63,1,1863,4,1863,3,07,01
1862-07-01,524176412.13,1,1862,4,1862,3,07,01
1861-07-01,90580873.72,1,1861,4,1861,3,07,01
1860-07-01,64842287.88,1,1860,4,1860,3,07,01
1859-07-01,58496837.88,1,1859,4,1859,3,07,01
1858-07-01,44911881.03,1,1858,4,1858,3,07,01
1857-07-01,28699831.85,1,1857,4,1857,3,07,01
1856-07-01,31972537.90,1,1856,4,1856,3,07,01
1855-07-01,35586956.56,1,1855,4,1855,3,07,01
1854-07-01,42242222.42,1,1854,4,1854,3,07,01
1853-07-01,59803117.70,1,1853,4,1853,3,07,01
1852-07-01,66199341.71,1,1852,4,1852,3,07,01
1851-07-01,68304796.02,1,1851,4,1851,3,07,01
1850-07-01,63452773.55,1,1850,4,1850,3,07,01
1849-07-01,63061858.69,1,1849,4,1849,3,07,01
1848-07-01,47044862.23,1,1848,4,1848,3,07,01
1847-07-01,38826534.77,1,1847,4,1847,3,07,01
1846-07-01,15550202.97,1,1846,4,1846,3,07,01
1845-07-01,15925303.01,1,1845,4,1845,3,07,01
1844-07-01,23461652.50,1,1844,4,1844,3,07,01
1843-07-01,32742922.00,1,1843,4,1843,3,07,01
1843-01-01,20201226.27,1,1843,2,1843,1,01,01
1842-01-01,13594480.73,1,1842,2,1842,1,01,01
1841-01-01,5250875.54,1,1841,2,1841,1,01,01
1840-01-01,3573343.82,1,1840,2,1840,1,01,01
1839-01-01,10434221.14,1,1839,2,1839,1,01,01
1838-01-01,3308124.07,1,1838,2,1838,1,01,01
1837-01-01,336957.83,1,1837,2,1837,1,01,01
1836-01-01,37513.05,1,1836,2,1836,1,01,01
1835-01-01,33733.05,1,1835,2,1835,1,01,01
1834-01-01,4760082.08,1,1834,2,1834,1,01,01
1833-01-01,7001698.83,1,1833,2,1833,1,01,01
1832-01-01,24322235.18,1,1832,2,1832,1,01,01
1831-01-01,39123191.68,1,1831,2,1831,1,01,01
1830-01-01,48565406.50,1,1830,2,1830,1,01,01
1829-01-01,58421413.67,1,1829,2,1829,1,01,01
1828-01-01,67475043.87,1,1828,2,1828,1,01,01
1827-01-01,73987357.20,1,1827,2,1827,1,01,01
1826-01-01,81054059.99,1,1826,2,1826,1,01,01
1825-01-01,83788432.71,1,1825,2,1825,1,01,01
1824-01-01,90269777.77,1,1824,2,1824,1,01,01
1823-01-01,90875877.28,1,1823,2,1823,1,01,01
1822-01-01,93546676.98,1,1822,2,1822,1,01,01
1821-01-01,89987427.66,1,1821,2,1821,1,01,01
1820-01-01,91015566.15,1,1820,2,1820,1,01,01
1819-01-01,95529648.28,1,1819,2,1819,1,01,01
1818-01-01,103466633.83,1,1818,2,1818,1,01,01
1817-01-01,123491965.16,1,1817,2,1817,1,01,01
1816-01-01,127334933.74,1,1816,2,1816,1,01,01
1815-01-01,99833660.15,1,1815,2,1815,1,01,01
1814-01-01,81487846.24,1,1814,2,1814,1,01,01
1813-01-01,55962827.57,1,1813,2,1813,1,01,01
1812-01-01,45209737.90,1,1812,2,1812,1,01,01
1811-01-01,48005587.76,1,1811,2,1811,1,01,01
1810-01-01,53173217.52,1,1810,2,1810,1,01,01
1809-01-01,57023192.09,1,1809,2,1809,1,01,01
1808-01-01,65196317.97,1,1808,2,1808,1,01,01
1807-01-01,69218398.64,1,1807,2,1807,1,01,01
1806-01-01,75723270.66,1,1806,2,1806,1,01,01
1805-01-01,82312150.50,1,1805,2,1805,1,01,01
1804-01-01,86427120.88,1,1804,2,1804,1,01,01
1803-01-01,77054686.40,1,1803,2,1803,1,01,01
1802-01-01,80712632.25,1,1802,2,1802,1,01,01
1801-01-01,83038050.80,1,1801,2,1801,1,01,01
1800-01-01,82976294.35,1,1800,2,1800,1,01,01
1799-01-01,78408669.77,1,1799,2,1799,1,01,01
1798-01-01,79228529.12,1,1798,2,1798,1,01,01
1797-01-01,82064479.33,1,1797,2,1797,1,01,01
1796-01-01,83762172.07,1,1796,2,1796,1,01,01
1795-01-01,80747587.39,1,1795,2,1795,1,01,01
1794-01-01,78427404.77,1,1794,2,1794,1,01,01
1793-01-01,80358634.04,1,1793,2,1793,1,01,01
1792-01-01,77227924.66,1,1792,2,1792,1,01,01
1791-01-01,75463476.52,1,1791,2,1791,1,01,01
1790-01-01,71060508.50,1,1790,2,1790,1,01,01
